pair,image_id_A,image_id_B,layer,inside_mean,outside_mean,inside_outside_ratio,auroc,top_gt_area_precision,center_of_mass_distance_normalized,foreground_query_fraction
0,285,92839,0,0.001615382032468915,0.005682921968400478,0.28425201773643494,0.18472221493721008,0.8148148059844971,0.13500626385211945,0.84375
0,285,92839,1,0.0019433458801358938,0.005878088995814323,0.33060845732688904,0.16863426566123962,0.8148148059844971,0.14262647926807404,0.84375
0,285,92839,2,0.0026498613879084587,0.007812856696546078,0.3391667604446411,0.1622685194015503,0.8194444179534912,0.15669728815555573,0.84375
0,285,92839,3,0.002831886988133192,0.007978202775120735,0.35495299100875854,0.15729166567325592,0.8148148059844971,0.1592283993959427,0.84375
0,285,92839,4,0.0030967185739427805,0.00800706073641777,0.3867484927177429,0.1422453671693802,0.8148148059844971,0.15317723155021667,0.84375
0,285,92839,5,0.002886356320232153,0.007244194392114878,0.39843717217445374,0.11678240448236465,0.8148148059844971,0.15358631312847137,0.84375
0,285,92839,6,0.0029287654906511307,0.007157877087593079,0.40916678309440613,0.09236110746860504,0.8148148059844971,0.15090805292129517,0.84375
0,285,92839,7,0.0030798057559877634,0.007373200263828039,0.41770270466804504,0.0885416641831398,0.8148148059844971,0.14897750318050385,0.84375
0,285,92839,8,0.003021123819053173,0.006933244876563549,0.43574458360671997,0.07916666567325592,0.8148148059844971,0.14303292334079742,0.84375
0,285,92839,9,0.0029044116381555796,0.0066009447909891605,0.43999937176704407,0.07534722238779068,0.8148148059844971,0.14077071845531464,0.84375
0,285,92839,10,0.0026725130155682564,0.006223659031093121,0.4294118583202362,0.06956018507480621,0.8148148059844971,0.14186961948871613,0.84375
0,285,92839,11,0.0028194617480039597,0.006788543425500393,0.41532647609710693,0.09375,0.8148148059844971,0.15185877680778503,0.84375
0,285,92839,12,0.002613629912957549,0.006464377045631409,0.40431272983551025,0.0868055522441864,0.8148148059844971,0.15422238409519196,0.84375
0,285,92839,13,0.002448862185701728,0.006155244540423155,0.3978497087955475,0.07962962985038757,0.8148148059844971,0.15614476799964905,0.84375
0,285,92839,14,0.0024522626772522926,0.00608486495912075,0.40301021933555603,0.07372685521841049,0.8148148059844971,0.1540716588497162,0.84375
0,285,92839,15,0.011001639999449253,0.005874617490917444,1.872741460800171,0.6498842835426331,0.8333333134651184,0.06998219341039658,0.84375
0,285,92839,16,0.01120177935808897,0.005978348199278116,1.8737248182296753,0.6806712746620178,0.8518518805503845,0.06375852972269058,0.84375
0,285,92839,17,0.009851755574345589,0.005774912424385548,1.7059575319290161,0.6707175970077515,0.8472222089767456,0.06520213931798935,0.84375
0,285,92839,18,0.0087577598169446,0.0053103333339095116,1.6491920948028564,0.6643518805503845,0.8472222089767456,0.06515395641326904,0.84375
0,285,92839,19,0.0072183930315077305,0.0047247884795069695,1.5277706384658813,0.6605324149131775,0.8564814925193787,0.06104455515742302,0.84375
0,285,92839,20,0.026336506009101868,0.004707313608378172,5.594805717468262,0.8231481313705444,0.8703703880310059,0.04273476079106331,0.84375
0,285,92839,21,0.03118732012808323,0.005425348877906799,5.7484450340271,0.8793981671333313,0.9120370149612427,0.048723820596933365,0.84375
0,285,92839,22,0.02569659985601902,0.0045770565047860146,5.614219665527344,0.8898147940635681,0.9120370149612427,0.04954027011990547,0.84375
0,285,92839,23,0.020325936377048492,0.003582201898097992,5.6741461753845215,0.8918981552124023,0.9120370149612427,0.048649270087480545,0.84375
0,285,92839,24,0.017927737906575203,0.003133600577712059,5.72113037109375,0.8950231671333313,0.9120370149612427,0.04577265679836273,0.84375
0,285,92839,25,0.01618160866200924,0.002906549721956253,5.567291259765625,0.9025462865829468,0.9166666865348816,0.04396873712539673,0.84375
0,285,92839,26,0.022527649998664856,0.003732554614543915,6.0354509353637695,0.925694465637207,0.9398148059844971,0.023357827216386795,0.84375
0,285,92839,27,0.04625563323497772,0.007723017130047083,5.989321708679199,0.9221065044403076,0.9398148059844971,0.01533353328704834,0.84375
1,22192,131273,0,0.0039846342988312244,0.0035204703453928232,1.1318471431732178,0.3902704119682312,0.12121212482452393,0.26820889115333557,0.12890625
1,22192,131273,1,0.004627117421478033,0.004026261158287525,1.1492342948913574,0.3928522765636444,0.09090909361839294,0.27117058634757996,0.12890625
1,22192,131273,2,0.005242855753749609,0.0054052602499723434,0.9699543714523315,0.40562576055526733,0.06060606241226196,0.28371819853782654,0.12890625
1,22192,131273,3,0.005118576344102621,0.00538277393206954,0.9509179592132568,0.4258730709552765,0.06060606241226196,0.28592902421951294,0.12890625
1,22192,131273,4,0.0051460121758282185,0.005484784487634897,0.9382341504096985,0.4284549653530121,0.06060606241226196,0.28961819410324097,0.12890625
1,22192,131273,5,0.004599806386977434,0.004980058874934912,0.9236449599266052,0.43212392926216125,0.06060606241226196,0.29530152678489685,0.12890625
1,22192,131273,6,0.004638281185179949,0.004995263647288084,0.9285358190536499,0.4416360855102539,0.06060606241226196,0.2973696291446686,0.12890625
1,22192,131273,7,0.004898021463304758,0.005159113090485334,0.9493921399116516,0.43524935841560364,0.09090909361839294,0.29731300473213196,0.12890625
1,22192,131273,8,0.0047516534104943275,0.0049234493635594845,0.9651066064834595,0.458078533411026,0.09090909361839294,0.2998221516609192,0.12890625
1,22192,131273,9,0.004544469993561506,0.004724479746073484,0.9618985056877136,0.4518277049064636,0.09090909361839294,0.2998504042625427,0.12890625
1,22192,131273,10,0.004119849298149347,0.004311602562665939,0.9555262327194214,0.45658376812934875,0.06060606241226196,0.3003059923648834,0.12890625
1,22192,131273,11,0.0038856614846736193,0.004127350635826588,0.94144207239151,0.4450332820415497,0.06060606241226196,0.30198538303375244,0.12890625
1,22192,131273,12,0.0036530187353491783,0.003915988840162754,0.9328470826148987,0.4360646903514862,0.06060606241226196,0.3034800887107849,0.12890625
1,22192,131273,13,0.003368252655491233,0.0036207286175340414,0.9302693009376526,0.43524935841560364,0.06060606241226196,0.30372166633605957,0.12890625
1,22192,131273,14,0.003370798658579588,0.003605431178584695,0.934922456741333,0.44883814454078674,0.06060606241226196,0.3046322166919708,0.12890625
1,22192,131273,15,0.006469957064837217,0.017085548490285873,0.3786800801753998,0.30194321274757385,0.0,0.30434638261795044,0.12890625
1,22192,131273,16,0.00733275106176734,0.016873512417078018,0.4345717132091522,0.344747930765152,0.0,0.30240604281425476,0.12890625
1,22192,131273,17,0.00735324714332819,0.014988253824412823,0.4906006455421448,0.3868732154369354,0.0,0.3017681837081909,0.12890625
1,22192,131273,18,0.009099554270505905,0.014431322924792767,0.6305419206619263,0.4280472993850708,0.03030303120613098,0.28987568616867065,0.12890625
1,22192,131273,19,0.01024936605244875,0.012589933350682259,0.8140921592712402,0.5368936061859131,0.03030303120613098,0.28198325634002686,0.12890625
1,22192,131273,20,0.02085314877331257,0.05338353291153908,0.3906288743019104,0.38116592168807983,0.0,0.387517511844635,0.12890625
1,22192,131273,21,0.02441168949007988,0.06942067295312881,0.3516486883163452,0.3815735876560211,0.0,0.3943675756454468,0.12890625
1,22192,131273,22,0.023339778184890747,0.056142181158065796,0.4157262444496155,0.38007882237434387,0.0,0.38970816135406494,0.12890625
1,22192,131273,23,0.019758932292461395,0.04576646536588669,0.4317338466644287,0.3927164077758789,0.0,0.3890080451965332,0.12890625
1,22192,131273,24,0.018815910443663597,0.041980043053627014,0.44821083545684814,0.39706480503082275,0.0,0.38569679856300354,0.12890625
1,22192,131273,25,0.016793616116046906,0.0378434956073761,0.44376492500305176,0.39461883902549744,0.0,0.38581621646881104,0.12890625
1,22192,131273,26,0.022765742614865303,0.04990231618285179,0.45620614290237427,0.4276396334171295,0.0,0.3871789872646332,0.12890625
1,22192,131273,27,0.046895138919353485,0.10881263762712479,0.4309714436531067,0.4333469271659851,0.0,0.39147746562957764,0.12890625
2,14888,52565,0,0.0032850359566509724,0.0018493524985387921,1.7763168811798096,0.6778978109359741,0.643410861492157,0.15249677002429962,0.50390625
2,14888,52565,1,0.0038010869175195694,0.0020718190353363752,1.834661602973938,0.747604250907898,0.7054263353347778,0.14688043296337128,0.50390625
2,14888,52565,2,0.004893737379461527,0.0028167017735540867,1.737399935722351,0.712567925453186,0.643410861492157,0.13720805943012238,0.50390625
2,14888,52565,3,0.005145534873008728,0.00296795298345387,1.7336982488632202,0.7422938346862793,0.6666666865348816,0.1334841102361679,0.50390625
2,14888,52565,4,0.005328955594450235,0.0031147629488259554,1.710870385169983,0.7465054988861084,0.6899224519729614,0.1318320333957672,0.50390625
